player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
257,20,M,Chris Mannella,Toronto FC,20,5' 9'',173,Canada,Active,175.26,78471.48001
258,29,D,Abdoulie Mansally,Real Salt Lake,25,5' 10'',160,Gambia,Active,177.8,72574.7792
259,21,M,Justin Mapp,Montreal Impact,30,6' 1'',160,USA,Active,185.42,72574.7792
260,NA,M,James Marcelin,Sporting Kansas City,28,6' 2'',175,Haiti,Active,187.96,79378.66475
261,NA,GK,Luis Marin,Sporting Kansas City,31,6' 2'',196,Chile,Active,187.96,88904.10452
262,16,D,Richie Marquez,Philadelphia Union,2015,6' 2'',185,USA,Active,187.96,83914.58845
263,14,D,Chad Marshall,Seattle Sounders FC,30,6' 4'',190,USA,Active,193.04,86182.5503
264,NA,D,Ramon Martin del Campo,,21,6' 2'',195,Mexico,Active,187.96,88450.51215
265,7,M,Felipe Martins,Montreal Impact,24,5' 9'',150,Brazil,Active,175.26,68038.8555
266,9,F,Obafemi Martins,Seattle Sounders FC,30,5' 7'',154,Nigeria,Active,170.18,69853.22498
267,11,F,Darren Mattocks,Vancouver Whitecaps FC,24,5' 10'',155,Jamaica,Active,177.8,70306.81735
268,92,GK,Raïs Mbolhi,Philadelphia Union,28,6' 3'',176,France,Active,190.5,79832.25712
269,11,M,Dax McCarty,New York Red Bulls,27,5' 9'',150,USA,Active,175.26,68038.8555
270,99,F,Jack McInerney,Montreal Impact,22,5' 10'',151,USA,Active,177.8,68492.44787
271,NA,M,Thomas McNamara,New York City FC,23,5' 9'',170,USA,Active,175.26,77110.7029
272,NA,GK,Ryan Meara,New York City FC,24,6' 4'',185,USA,Active,193.04,83914.58845
273,4,D,Tyrone Mears,Seattle Sounders FC,31,5' 11'',163,England,Active,180.34,73935.55631
274,94,M,Jimmy Medranda,Sporting Kansas City,20,5' 5'',150,Colombia,Active,165.1,68038.8555
